대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화지도),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타(Others)
유럽주,체코,남성,7,3,38,0,0,0,1,0,27,0,0,0,0,0,5,1,0,0,0,3,0,7,5,2,0,0,0,0,4,2,0,2,12,0,3,0,0,0
유럽주,체코,여성,9,1,49,0,0,0,1,0,49,0,12,0,1,0,0,0,2,1,0,1,0,0,9,3,0,0,0,1,4,1,1,1,16,0,7,0,0,4
유럽주,영국외지민,남성,0,0,1,55,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,2,0,0,3,8,0,1,0,2,0
유럽주,영국외지민,여성,0,0,0,57,0,0,0,0,11,0,3,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,1,1,2,0,5,33,0,2,0,6,0
유럽주,불가리아,남성,4,2,19,4,0,1,0,0,12,0,0,0,0,0,1,4,2,2,0,0,1,0,3,5,0,0,0,1,4,1,0,2,11,0,0,0,0,0
유럽주,불가리아,여성,2,2,16,0,0,0,0,0,28,0,7,0,0,0,0,0,4,1,0,1,0,0,3,3,0,0,0,1,4,7,0,7,19,0,0,0,0,1
유럽주,리투아니아,남성,6,3,22,0,0,0,0,0,20,0,3,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,3,0,0,2,4,0,0,0,0,0
유럽주,리투아니아,여성,6,2,24,0,0,0,3,0,35,0,6,0,1,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,1,1,1,1,15,0,0,0,1,2
유럽주,슬로바크,남성,6,0,26,0,0,0,1,0,5,0,0,0,1,0,0,1,1,1,0,0,0,1,2,2,0,0,0,0,3,0,0,1,3,0,0,0,0,0
유럽주,슬로바크,여성,6,0,38,0,0,0,2,0,22,0,3,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,4,1,0,0,7,0,0,0,0,0
유럽주,크로아티아,남성,2,1,0,24,0,0,6,0,4,0,2,0,1,0,0,20,1,0,0,0,0,1,3,7,0,0,0,0,0,2,0,2,6,0,0,0,0,0
유럽주,크로아티아,여성,1,0,1,22,0,0,0,0,9,0,2,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,3,6,0,4,8,0,0,0,0,0
유럽주,조지아,남성,5,4,0,0,0,10,0,0,2,0,0,0,0,1,0,0,2,1,0,1,0,0,3,0,0,0,0,2,2,0,0,1,0,3,0,0,0,0
유럽주,조지아,여성,3,10,0,0,0,3,1,0,24,0,12,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,8,1,2,1,13,4,0,0,0,0
유럽주,라트비아,남성,3,0,11,2,0,1,1,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0
유럽주,라트비아,여성,4,0,13,0,0,0,0,0,21,0,10,0,0,1,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,6,1,2,13,2,0,0,0,2
유럽주,세르비아,남성,2,3,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,3,0,1,8,1,0,0,0,1
유럽주,세르비아,여성,1,1,0,7,0,0,1,0,12,0,5,0,0,0,0,0,0,2,0,1,0,0,2,3,0,0,0,4,3,7,0,1,2,0,0,0,0,1
유럽주,에스토니아,남성,5,0,9,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
유럽주,에스토니아,여성,4,0,23,0,0,0,1,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,6,0,0,0,0,0
유럽주,아르메니아,남성,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,4,1,2,0,9,2,1,0,0,0,0
유럽주,아르메니아,여성,0,0,0,0,0,1,2,0,23,0,5,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,4,7,2,0,2,8,0,0,0,0,0
유럽주,룩셈부르크,남성,2,2,22,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,2,0,1,0,0,0,0,0
유럽주,룩셈부르크,여성,0,0,20,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0
유럽주,슬로베니아,남성,8,0,0,7,0,0,3,0,2,0,0,1,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,1,7,0,0,0,0,0
유럽주,슬로베니아,여성,5,1,0,4,0,0,0,0,9,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1
유럽주,몰도바,남성,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,2,0,2,0,1,0,1,0,0
유럽주,몰도바,여성,0,0,0,0,0,1,1,0,11,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,13,0,0,0,0,1
유럽주,알바니아,남성,0,0,0,21,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0
유럽주,알바니아,여성,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0
유럽주,아이슬란드,남성,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0
유럽주,아이슬란드,여성,0,0,4,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
유럽주,몰타,남성,0,0,8,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
유럽주,몰타,여성,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
유럽주,몬테네그로,남성,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,몬테네그로,여성,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
유럽주,북마케도니아,남성,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
유럽주,북마케도니아,여성,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
유럽주,코소보,남성,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
유럽주,코소보,여성,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,보스니아-헤르체고비나,남성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
유럽주,보스니아-헤르체고비나,여성,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
유럽주,모나코,남성,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,모나코,여성,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,영국해외영토시민,여성,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,영국외지시민,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,산마리노,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,산마리노,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
유럽주,유고슬라비아,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
유럽주,스발바르,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
유럽주,세르비아몬테네그로,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,리히텐슈타인,남성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,교황청,남성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,오스트레일리아,남성,45,40,39,5395,0,8,9,1,37,0,3,1,6,11,31,19,5,20,118,12,20,10,21,77,0,0,0,52,48,57,2194,153,361,0,20,0,1,5
오세아니아주,오스트레일리아,여성,46,18,45,5591,0,6,3,1,75,0,12,0,6,0,6,2,4,7,171,0,0,0,6,53,0,0,0,20,18,72,3102,81,124,0,23,0,2,13
오세아니아주,뉴질랜드,남성,9,22,1125,2,0,5,1,0,4,0,2,0,3,2,11,3,5,12,63,1,4,8,3,26,0,0,0,6,15,20,1335,100,169,1,5,0,0,7
오세아니아주,뉴질랜드,여성,12,5,1167,3,0,4,0,0,14,0,2,0,1,0,2,0,0,6,85,0,0,0,0,25,0,0,0,8,16,19,1245,35,36,1,5,0,0,8
오세아니아주,피지,남성,1,1,0,16,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,0,3,0,0,0,0,0
오세아니아주,피지,여성,0,2,0,11,0,1,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,1,2,0,0,0,0,3
오세아니아주,마샬군도,남성,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2
오세아니아주,마샬군도,여성,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
오세아니아주,바누아투,남성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1,3,0,0,0,0,1
오세아니아주,바누아투,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
오세아니아주,파푸아뉴기니,남성,2,2,0,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
오세아니아주,파푸아뉴기니,여성,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
오세아니아주,솔로몬군도,남성,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
오세아니아주,솔로몬군도,여성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1
오세아니아주,팔라우,남성,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
오세아니아주,팔라우,여성,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
오세아니아주,미이크로네시아,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
오세아니아주,미이크로네시아,여성,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
오세아니아주,사모아,남성,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,사모아,여성,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,통가,남성,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,통가,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
오세아니아주,나우루,남성,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,나우루,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오세아니아주,투발루,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아프리카주,남아프리카공화국,남성,8,0,0,206,0,10,0,0,12,0,4,0,2,2,7,3,6,24,804,3,7,0,9,33,0,1,0,0,42,58,7,23,146,194,0,0,0,35
아프리카주,남아프리카공화국,여성,12,0,0,181,0,8,1,0,25,0,12,0,0,0,0,0,18,14,2345,1,0,0,7,37,0,0,0,4,15,79,3,2,62,49,0,0,0,23
아프리카주,이집트,남성,26,20,1,157,0,168,0,0,75,0,11,0,1,0,85,19,2,8,1,28,0,0,2,22,0,1,0,18,91,127,0,22,104,1134,0,0,0,275
