지역아이디,상습지역지수합계,상습지역지수평균,다발지역지수,지오메트리
50f913f9-28-20211104180343-481,13.33333333,13.33333333,14,MULTIPOLYGON (((126.815457095772 37.5707882352037,126.815461119085 37.5703375821795,126.816027400464 37.5703408930313,126.816023209512 37.5707915460555,126.815457095772 37.5707882352037)))
80f913f9-5-20211104180324-495,13.33333333,13.33333333,20,MULTIPOLYGON (((126.81488679108 37.5712355773762,126.814890814393 37.5707849662615,126.815457095772 37.5707882352037,126.81545290482 37.571238888228,126.81488679108 37.5712355773762)))
40f913f9-1-20211104180323-39,16.12903226,16.12903226,14,MULTIPOLYGON (((126.832610995896 37.5519582897201,126.832615103029 37.5515076786054,126.833181049131 37.5515108637286,126.833177109637 37.5519614748433,126.832610995896 37.5519582897201)))
70f913f9-15-20211104180334-442,41.93548387,41.93548387,14,MULTIPOLYGON (((126.808084373739 37.5720972789322,126.808088480871 37.5716465839984,126.80865476225 37.5716499367597,126.808650487479 37.5721005478744,126.808084373739 37.5720972789322)))
00f913f9-10-20211104180329-36,16.12903226,16.12903226,15,MULTIPOLYGON (((126.833181049131 37.5515108637286,126.833185156264 37.5510602107044,126.833751102366 37.5510633958276,126.833747162872 37.5515140488518,126.833181049131 37.5515108637286)))
60f913f9-14-20211104180332-428,19.35483871,19.35483871,10,MULTIPOLYGON (((126.806402628686 37.57028473428,126.806406651999 37.5698340812558,126.806972933378 37.5698373921075,126.806968742426 37.5702880032222,126.806402628686 37.57028473428)))
c0f913f9-15-20211104180334-437,41.93548387,41.93548387,12,MULTIPOLYGON (((126.807518176179 37.5720939680804,126.807522367131 37.5716433150562,126.808088480871 37.5716465839984,126.808084373739 37.5720972789322,126.807518176179 37.5720939680804)))
60f913f9-0-20211104180322-164,12.90322581,12.90322581,16,MULTIPOLYGON (((126.84795658423 37.5448332529258,126.847960607544 37.5443826418111,126.848526553646 37.5443857850248,126.848522697971 37.5448363961395,126.84795658423 37.5448332529258)))
30f913f9-29-20211104180344-496,10,10,14,MULTIPOLYGON (((126.816729384855 37.5554728636311,126.816733408168 37.5550222106069,126.817299521909 37.5550254795491,126.817295330957 37.5554760906638,126.816729384855 37.5554728636311)))
60f913f9-21-20211104180334-201,16.66666667,16.66666667,15,MULTIPOLYGON (((126.859233680581 37.5498524203663,126.859237620076 37.5494017673421,126.859803566178 37.5494048267367,126.859799794322 37.5498555216705,126.859233680581 37.5498524203663)))
f0f913f9-26-20211104180342-473,29.03225806,29.03225806,14,MULTIPOLYGON (((126.813134470402 37.5770841341359,126.813138577534 37.5766334811117,126.813704858913 37.5766367500539,126.813700584142 37.5770874449877,126.813134470402 37.5770841341359)))
40f913f9-26-20211104180342-449,10,10,12,MULTIPOLYGON (((126.81031161305 37.5761663576477,126.810315804002 37.5757157046235,126.810882085381 37.5757189735657,126.810877894429 37.5761696684995,126.81031161305 37.5761663576477)))
e0f913f9-3-20211104180322-160,12.90322581,12.90322581,24,MULTIPOLYGON (((126.848526553646 37.5443857850248,126.848530409321 37.5439351320006,126.849096439243 37.5439381913952,126.849092499748 37.544388886329,126.848526553646 37.5443857850248)))
f0f913f9-22-20211104180344-107,45.16129032,45.16129032,21,MULTIPOLYGON (((126.844046174942 37.5389528868436,126.844050030617 37.5385021919098,126.844615976719 37.5385053351235,126.844612121044 37.5389560300573,126.844046174942 37.5389528868436)))
20f913f9-27-20211104180343-143,45.16129032,45.16129032,17,MULTIPOLYGON (((126.84460818155 37.5394066830815,126.844612121044 37.5389560300573,126.845177983327 37.5389591313614,126.845174127652 37.5394098262952,126.84460818155 37.5394066830815)))
d0f913f9-3-20211104180322-102,23.33333333,23.33333333,54,MULTIPOLYGON (((126.840741861072 37.5285690080042,126.840745716747 37.52811835498,126.84131166285 37.5281215401032,126.841307639536 37.5285721931274,126.840741861072 37.5285690080042)))
70f913f9-3-20211104180322-480,19.35483871,19.35483871,14,MULTIPOLYGON (((126.813126172318 37.5779854401844,126.81313027945 37.5775347452506,126.813696560829 37.5775380561024,126.813692369877 37.5779887091266,126.813126172318 37.5779854401844)))
70f913f9-29-20211104180344-40,16.12903226,16.12903226,13,MULTIPOLYGON (((126.832619126343 37.5510570255812,126.832623065837 37.5506063306474,126.833189095758 37.5506095157706,126.833185156264 37.5510602107044,126.832619126343 37.5510570255812)))
30f913f9-2-20211104180322-130,45.16129032,45.16129032,41,MULTIPOLYGON (((126.844612121044 37.5389560300573,126.844615976719 37.5385053351235,126.845182006641 37.5385084783372,126.845177983327 37.5389591313614,126.844612121044 37.5389560300573)))
40f913f9-24-20211104180342-478,12.90322581,12.90322581,26,MULTIPOLYGON (((126.814357725351 37.5671764731254,126.814361916303 37.5667258201012,126.814928030043 37.5667291728625,126.814923922911 37.5671798258867,126.814357725351 37.5671764731254)))
20f913f9-28-20211104180343-40,16.12903226,16.12903226,60,MULTIPOLYGON (((126.832615103029 37.5515076786054,126.832619126343 37.5510570255812,126.833185156264 37.5510602107044,126.833181049131 37.5515108637286,126.832615103029 37.5515076786054)))
f0f913f9-11-20211104180329-38,16.12903226,16.12903226,14,MULTIPOLYGON (((126.833185156264 37.5510602107044,126.833189095758 37.5506095157706,126.83375512568 37.5506127008938,126.833751102366 37.5510633958276,126.833185156264 37.5510602107044)))
90f913f9-14-20211104180332-443,41.93548387,41.93548387,30,MULTIPOLYGON (((126.808080182787 37.5725479319564,126.808084373739 37.5720972789322,126.808650487479 37.5721005478744,126.808646464166 37.5725512008986,126.808080182787 37.5725479319564)))
c0f913f9-29-20211104180344-479,13.33333333,13.33333333,44,MULTIPOLYGON (((126.814895089164 37.5703343132373,126.814899112477 37.5698837021226,126.815465393856 37.5698869710648,126.815461119085 37.5703375821795,126.814895089164 37.5703343132373)))
